,ID,SP_ID,Int_Name,Area_Rep,Area_GIS,PA_type,PA_DEF,IUCN_CAT,RealmNr,COUNTRY,ISO3,ODA_status,ODA,SR_B,Prop_SR_B,SR_M,Prop_SR_M,SR_A,Prop_SR_A,SR_R,Prop_SR_R,RSR_B,RSR_M,RSR_A,RSR_R,PE_WMean_B,PE_Max_B,PE_WMean_M,PE_Max_M,PE_WMean_A,PE_Max_A,PE_WMean_R,PE_Max_R,TO_PAbird,TO_PA_weightbird,TO_PAmammal,TO_PA_weightmammal,TO_PAamphibian,TO_PA_weightamphibian,TO_PAreptile,TO_PA_weightreptile,HFP_WMean,HFP_Max,HFPRisk_around,BaseCarbon_WMean,BaseCarbon_WSum,VulCarbon_WMean,VulCarbon_WSum,IrrCarbon_WMean,IrrCarbon_WSum,BII_WMean,BII_Max,BioAnth_WMean,BioAnth_Max,TreeCover_WMean,TreeCover_Max,BioCropRisk,CropRisk,PastureRisk
1,1050,631,Safed Koh,NA,2065.510405,KBA,NA,NA,8,Afghanistan,AFG,Least Developed Countries ,yes,196,0.019834042,73,0.013838863,4,0.000626959,52,0.005166932,3.60E-07,9.24E-07,2.22E-06,5.39E-06,5.391154065,5.919587938,2.859710179,3.101591142,1.552748126,1.573408816,1.726073144,8.043093833,0.108214212,0.111534738,0.116908508,0.121117114,0.184320196,0.184369844,0.56306073,0.586106003,11.29100414,12.8684154,11.29100414,2.733691863,13.73105812,2.730897647,13.71895735,0.003418125,1.024709523,0.900769122,0.907165237,-0.27049057,0.58639526,0.044903256,0.096683323,2.14E-07,0.053972204,-0.011812427
2,1117,1238,Small Pamir,NA,3843.53666,KBA,NA,NA,8,Afghanistan,AFG,Least Developed Countries ,yes,175,0.017708966,51,0.009668246,1,0.00015674,18,0.001788553,3.46E-07,1.08E-06,5.46E-06,7.58E-06,2.483839112,3.8582318,1.746746128,3.347209322,0.036709133,0.062477373,0.308793693,1.817940934,0.127002062,0.128945659,0.146476532,0.147690469,0.219119826,0.211056917,0.760949166,0.76997944,2.64588099,6.048688305,2.64588099,0.605096306,6.151001782,0.604192693,6.141910627,0.001824735,1.11234515,0.805582428,0.95664771,0.00563406,0.035629273,0.167148105,0.306600004,0,0.000121612,0.012206636
3,1005,632,Registan desert,NA,41016.35858,KBA,NA,NA,8,Afghanistan,AFG,Least Developed Countries ,yes,130,0.013155232,52,0.00985782,5,0.000783699,63,0.006259936,2.06E-07,2.76E-06,1.60E-06,1.65E-06,1.803695678,2.691172617,1.07790631,1.472694058,1.401967837,1.779677823,1.999313748,2.976173771,0.137951475,0.152540155,0.153937963,0.166507151,0.144732743,0.157681702,0.512984613,0.53010622,4.651340026,9.539846371,4.651340026,1.044643419,28.13083613,1.043885173,28.10271002,0,1,0.833686653,0.943442086,0.513719588,5.09609987,0.0102152,0.022599999,4.87E-05,0.00447924,-5.05E-05
4,829,630,North-western steppe,NA,10847.44863,KBA,NA,NA,8,Afghanistan,AFG,Least Developed Countries ,yes,171,0.017304189,59,0.011184834,2,0.00031348,69,0.006856121,1.50E-07,4.38E-07,1.46E-06,1.34E-06,2.046889557,2.378595051,1.952051514,2.242173361,0.062418801,0.062477373,1.169341417,3.561289464,0.114968834,0.115371046,0.136266192,0.135942725,0.113614749,0.116147232,0.421618616,0.423061472,8.898059336,10.69939717,8.898059336,2.872397389,30.41757396,2.870552087,30.39907903,0,1,0.809465891,0.851975264,-1.899129037,0.039840698,0.033698049,0.082416669,0,-0.013998996,-0.004489163
5,794,167,National Park Quiçãma,9960,8651.684604,IUCN,1,II,3,Angola,AGO,Least Developed Countries ,yes,374,0.03784659,102,0.019336493,33,0.005172414,85,0.008445946,6.41E-07,3.22E-07,7.94E-06,2.10E-06,14.0925243,17.95850287,2.754556704,3.864905359,5.656963569,19.67884834,4.131141826,7.099975771,0.058390392,0.065195419,0.071585001,0.080973516,0.076741903,0.090189289,0.498086871,0.509508452,6.954045914,13.94169595,6.954045914,31.05947569,274.6476886,31.05066313,274.5726804,9.682855535,106.7076909,0.837457753,0.89194706,-5.139865384,-0.095062255,0.086752691,0.218066677,0,0.01298752,-0.000294175
6,790,166,National Park Iona,15150,15350.03335,IUCN,1,II,3,Angola,AGO,Least Developed Countries ,yes,296,0.029953451,99,0.018767773,19,0.002978056,124,0.012321145,3.16E-07,6.12E-07,5.79E-07,4.76E-06,9.63192049,10.15431162,4.576617462,5.993944584,2.249397415,3.001576674,13.91867613,22.80664656,0.078823765,0.082447974,0.106912558,0.110274657,0.087980856,0.089230319,0.316582009,0.323823352,4.450306677,5.700490926,4.450306677,30.20948018,310.0648066,30.20339465,310.0185615,3.170783924,34.36712749,0.669514622,0.771851107,0.010873605,0.101318359,0.043495994,0.103399999,0,0.000615461,0.000150306
7,792,172,National Park Mavinga,5950,5644.054651,IUCN,1,II,3,Angola,AGO,Least Developed Countries ,yes,293,0.029649868,89,0.016872038,35,0.005485893,67,0.006657393,1.46E-07,2.14E-07,3.85E-07,7.18E-07,5.08377946,6.343426524,2.542765262,2.890168022,3.41737514,4.363147012,1.353177774,3.133145039,0.062400107,0.064608893,0.083388153,0.08663181,0.129944614,0.128846438,0.469353233,0.47399863,3.096387277,4.198138489,3.096387277,48.51016744,329.4694734,48.50612702,329.4398888,3.714276752,25.02424052,0.735402176,0.776243298,-0.400246994,-0.108047486,0.127336739,0.20753336,0,0.036196048,0.000661558
8,793,170,National Park Mupa,6600,5398.292684,IUCN,1,II,3,Angola,AGO,Least Developed Countries ,yes,337,0.034102408,99,0.018767773,31,0.004858934,77,0.007651033,2.27E-07,3.61E-07,4.00E-07,7.21E-07,8.41996054,9.239011411,3.622073418,4.187121641,2.69196991,3.170790081,2.311993488,2.793559333,0.078488459,0.078561947,0.097746973,0.10039447,0.146892376,0.153558475,0.47195861,0.476973781,3.821099637,4.689310081,3.821099637,36.72311949,214.7678698,36.71899714,214.7433809,3.164871559,17.55876869,0.824759843,0.891486607,0.211579804,2.891937256,0.213501347,0.310750008,0.00014739,0.056236889,-0.002610473
9,667,553,Luando Strict Nature Reserve,NA,8791.456374,KBA,NA,NA,3,Angola,AGO,Least Developed Countries ,yes,387,0.039162113,129,0.024454976,43,0.006739812,88,0.008744038,3.14E-07,2.06E-06,1.30E-06,5.22E-07,9.463210222,11.05149401,6.714762711,7.672850475,5.953019169,7.959285445,1.708844278,1.94753984,0.084951064,0.086992371,0.105817221,0.109594714,0.145658181,0.157795958,0.473158184,0.482652336,6.248572566,8.151948835,6.248572566,47.68515397,530.0551612,47.68008129,529.9981209,0.119063608,2.378242502,0.948943026,0.973452102,0.26158773,2.357131962,0.024911896,0.292849988,0,-0.002471933,0.014882598
10,791,171,National Park Luengue-Luiana,22610,10493.85493,IUCN,1,II,3,Angola,AGO,Least Developed Countries ,yes,378,0.038251366,110,0.020853081,38,0.005956113,88,0.008744038,1.99E-07,3.11E-07,3.82E-07,6.94E-07,8.271023575,8.893279361,4.025232244,4.348100249,3.686929659,3.807132924,1.658358845,2.471943184,0.07957773,0.07921574,0.087512267,0.088367579,0.167357915,0.176317642,0.367583664,0.363368751,2.806128128,4.59212961,2.806128128,44.66484981,380.2146643,44.66065984,380.1769212,5.451809602,51.58616348,0.69258144,0.780389983,0.274832337,1.237823486,0.1784637,0.265249982,0.000162049,0.039544563,-0.006588999
11,788,169,National Park Bicuar,7900,7772.755423,IUCN,1,II,3,Angola,AGO,Least Developed Countries ,yes,391,0.039566889,113,0.021421801,32,0.005015674,91,0.00904213,3.12E-07,4.20E-07,4.35E-07,2.96E-06,10.86243955,12.32898438,4.318132127,4.823695442,2.829224539,3.138084809,4.322803867,6.622482439,0.09218474,0.094370681,0.104693351,0.106341144,0.128313723,0.127657155,0.477337843,0.487597586,6.012809961,7.542296115,6.012809961,31.53724702,279.2087775,31.53305473,279.1755234,2.538667695,24.98258454,0.889281596,0.914349406,0.604713296,13.33203121,0.207414136,0.299383312,0,0.035995961,-0.000965739
12,789,168,National Park Cameia,14450,14272.56129,IUCN,1,II,3,Angola,AGO,Least Developed Countries ,yes,374,0.03784659,127,0.024075829,52,0.00815047,84,0.008346582,2.06E-07,1.28E-06,5.98E-07,4.19E-07,7.731470149,9.323159002,4.592083957,5.551212283,6.160553673,6.417129934,1.729040252,1.799046556,0.056369274,0.05875351,0.068701611,0.071414062,0.184617906,0.18230532,0.454267635,0.457318148,3.301432113,4.256880835,3.301432113,18.22759435,290.6049419,18.2191389,290.5183502,0.368899379,5.443687217,0.759273658,0.816910205,0.017549117,0.364395139,-0.006981669,0.144766688,0,0.003924934,0.003500624
13,666,552,Luachimo River (Chitato),NA,2400.391823,KBA,NA,NA,3,Angola,AGO,Least Developed Countries ,yes,355,0.035923902,124,0.023507109,49,0.007680251,104,0.010333863,2.55E-07,1.18E-06,1.14E-06,3.57E-07,8.345867664,9.235057749,4.448000774,4.600764608,6.337396778,6.767660571,1.598639105,1.664700614,0.128575064,0.130387122,0.144957768,0.145315115,0.282765643,0.281357726,0.370873988,0.370053307,4.837496272,6.160212014,4.837496272,43.24953836,168.9194256,43.24503267,168.9015212,0.41614687,2.489453263,0.86684467,0.940837157,-1.065339615,-0.834045411,-0.044930367,0.129883349,0,0.004516218,0.000732115
14,253,551,Cuelei,NA,2403.921898,KBA,NA,NA,3,Angola,AGO,Least Developed Countries ,yes,261,0.026411658,84,0.015924171,34,0.005329154,61,0.006061208,1.64E-07,4.00E-07,4.41E-07,3.69E-07,5.933159458,5.946973544,3.439824674,3.471697302,3.285561639,3.33788072,1.126539306,1.157601023,0.062011094,0.06239235,0.072434324,0.072154169,0.126401158,0.125757485,0.3873733,0.389275684,3.442261471,3.503445678,3.442261471,38.09038686,75.33482533,38.08621913,75.326454,0.58572973,2.452694423,0.755980512,0.756200596,-4.127280631,-3.916992185,0.143679573,0.145733297,0,0.028014319,0.000367128
161,155,173,Boucle de la Pendjari,2755,2844.630503,IUCN,1,II,3,Benin,BEN,Least Developed Countries ,yes,300,0.030358227,115,0.021800948,30,0.004702194,86,0.00854531,1.45E-07,2.82E-07,3.72E-07,2.88E-07,5.633095086,5.902684065,3.117459619,3.446661924,3.110046483,3.143729284,1.095542708,1.415169468,0.03376741,0.040334491,0.041866303,0.04559911,0.081403982,0.079831076,0.228927954,0.230396614,5.939956898,7.328524273,5.939956898,20.04365668,104.0375621,20.03989249,104.0214685,0.389437049,3.59266522,0.842430079,0.871243249,2.947334073,3.268508897,0.07310567,0.134666651,0,0.00490776,-9.26E-06
162,869,554,Ouémé river basin,NA,4969.917578,KBA,NA,NA,3,Benin,BEN,Least Developed Countries ,yes,313,0.03167375,136,0.025781991,33,0.005172414,104,0.010333863,1.66E-07,4.45E-07,3.53E-07,6.06E-07,5.866094473,6.464907285,3.969452936,4.660775243,3.264440558,3.290645277,1.940465008,3.14460256,0.046308732,0.044884856,0.064857599,0.062757513,0.149293288,0.136459934,0.28211146,0.285092401,5.863148557,6.299158213,5.863148557,38.21271345,224.1721987,38.20849467,224.1475823,0.137280743,1.755171684,0.865159169,0.895731721,-2.904594768,-1.366744995,0.08730469,0.108700037,2.13E-05,0.056030518,0.000521316
163,1259,174,W (Benin),5020,5819.179767,IUCN,1,II,3,Benin,BEN,Least Developed Countries ,yes,316,0.031977333,113,0.021421801,29,0.004545455,89,0.008843402,1.56E-07,2.82E-07,3.59E-07,4.28E-07,5.406897549,5.567791184,2.897974414,3.16329527,2.435932541,2.983224246,1.191172114,2.200568738,0.062860491,0.06585717,0.077118982,0.082017242,0.129289221,0.132534567,0.238817811,0.25031514,8.009954182,12.70801118,8.009954182,35.58929294,256.3990416,35.58408426,256.3598321,0.827341511,5.709737462,0.855729801,0.920788334,5.752219107,20.73822024,0.034606948,0.09586668,0.001762731,0.048309407,-0.000145674
164,1260,176,W du Burkina Faso,2350,2444.013641,IUCN,1,II,3,Burkina Faso,BFA,Least Developed Countries ,yes,315,0.031876138,111,0.021042654,30,0.004702194,88,0.008744038,1.60E-07,2.68E-07,3.52E-07,4.29E-07,5.464193364,5.567791184,2.874010681,3.158847117,2.558578504,2.983224246,1.139902174,2.200568738,0.062756703,0.067132666,0.073542661,0.081383269,0.127820382,0.132135337,0.23372882,0.245321296,7.358572287,10.69025671,7.358572287,29.35870335,127.7073173,29.35409655,127.6794318,0.402769291,2.324145372,0.818033631,0.884841668,5.713225706,16.49330135,0.059808682,0.088049978,0.000460803,0.031144798,0.001621975
165,503,175,Kabore-Tambi,2427,1525.076776,IUCN,1,II,3,Burkina Faso,BFA,Least Developed Countries ,yes,277,0.028030763,97,0.018388626,28,0.004388715,80,0.007949126,1.40E-07,2.60E-07,2.86E-07,2.54E-07,5.299825336,5.443071242,2.778076206,3.008208858,2.574156184,2.59952665,1.049727939,1.061662107,0.042268503,0.041806702,0.051744547,0.051185325,0.089761789,0.08775108,0.216501401,0.217730456,11.14424611,12.54801615,11.14424611,31.24361101,121.3779945,31.23867701,121.3595854,1.825927292,9.088319833,0.906560382,0.938162737,6.926143151,9.287994409,0.095139348,0.143183351,9.61E-08,0.07797687,-9.99E-06
166,489,656,Jamuna-Brahmaputra river,NA,2827.416698,KBA,NA,NA,4,Bangladesh,BGD,Least Developed Countries ,yes,265,0.026816434,104,0.01971564,26,0.004075235,129,0.012817965,2.77E-07,5.26E-07,6.33E-07,9.37E-07,8.034518081,13.85133425,3.897739306,6.927651315,6.417164442,11.86629144,2.438699953,3.614004208,0.047590932,0.048279692,0.060590513,0.060899485,0.0515292,0.05060167,0.321017665,0.317937415,18.76930591,20.07090752,18.76930591,21.24773957,99.51758194,21.24028382,99.47603594,0.793452151,4.631626302,0.768309763,0.793057577,1.264770696,1.902191168,-0.00372898,0.013450027,0.000974852,-0.020045945,-0.04475922
300,1267,179,Wangchuck Centennial Park,4921,4939.601819,IUCN,1,II,8,Bhutan,BTN,Least Developed Countries ,yes,399,0.040376442,87,0.016492891,7,0.001097179,40,0.003974563,8.21E-07,1.15E-06,2.65E-06,3.33E-06,20.16663586,22.37148081,5.950565618,6.548401116,5.552664133,6.272909428,3.819235341,4.692899376,0.104187133,0.093690554,0.118335286,0.109164763,0.16469615,0.166866533,0.668776497,0.661640236,6.193323794,7.126150755,6.193323794,44.57994127,183.1982494,44.57662204,183.1786748,4.587008604,19.7486624,0.909761336,0.946386506,-0.055462619,0.051086427,-0.064617057,0.911216713,8.09E-05,0.09535092,-0.114001672
301,494,180,Jigme Dorji,4316,4338.36058,IUCN,1,II,8,Bhutan,BTN,Least Developed Countries ,yes,386,0.039060919,90,0.017061611,8,0.001253918,44,0.004372019,7.97E-07,1.21E-06,2.83E-06,3.11E-06,17.30515369,20.9190802,6.879080576,8.908554038,6.700878765,14.09611533,1.79474795,4.683217288,0.110319036,0.108340628,0.122915041,0.131024989,0.15623223,0.174696131,0.673331631,0.680187557,6.228996139,7.621024401,6.228996139,31.23158172,141.3165933,31.22809486,141.2977852,2.441295245,11.48590657,0.850441689,0.928182266,-0.002853439,0.187179566,0.025629466,0.342799991,0.000269661,0.046081672,-0.031335507
310,807,563,Ngotto,NA,2173.145811,KBA,NA,NA,3,Central African Republic,CAF,Least Developed Countries ,yes,398,0.040275248,171,0.032417062,56,0.008777429,147,0.014606518,2.94E-07,7.54E-07,3.49E-06,4.75E-07,12.33099318,12.35257242,9.475412133,10.71964292,9.621443399,11.44637675,3.040837166,3.204243549,0.088243797,0.091668285,0.108453429,0.112247617,0.210632618,0.230556303,0.256236864,0.263758278,3.629356799,4.93082485,3.629356799,136.753537,369.5039733,136.7495571,369.4921997,38.30614152,92.45286139,0.925465115,0.925985731,0.215476288,0.437683104,-0.07664695,-0.068233371,0,-0.002032942,0.006466547
311,1338,562,Zémongo Faunal Reserve,NA,13764.22308,KBA,NA,NA,3,Central African Republic,CAF,Least Developed Countries ,yes,301,0.030459421,125,0.023696682,28,0.004388715,109,0.010830684,1.96E-07,2.23E-07,2.79E-07,2.63E-07,4.885359787,6.623708049,2.838338621,3.697375862,2.713412368,2.84279368,0.676459428,0.942011601,0.089636187,0.092995286,0.123109669,0.12703392,0.168072007,0.166993512,0.437666778,0.450358933,0.754513309,2.748209862,0.754513309,50.18269514,503.3734871,50.17835448,503.3302023,0.214418588,3.655810387,0.813673385,0.844479356,0.021793072,0.296463012,0.000318517,0.17325002,0,-0.00125151,0.003309157
312,111,488,Bamingui-Bangoran,11191.1,11263.59498,IUCN,1,II,3,Central African Republic,CAF,Least Developed Countries ,yes,339,0.034304797,119,0.022559242,29,0.004545455,110,0.010930048,2.01E-07,2.11E-07,2.79E-07,2.73E-07,6.549458732,6.86280421,2.660563598,3.082911818,2.763407173,3.264970901,0.976158911,1.369029735,0.043282582,0.042170689,0.050350387,0.049185202,0.056784542,0.057083563,0.313122409,0.312199638,1.699144175,3.716487992,1.699144175,42.79740485,390.699721,42.79300052,390.6602042,1.160061725,13.01170064,0.724647549,0.828297018,0.047567759,0.288391117,-0.007110684,0.12803334,0,-0.000840409,0.000700813
313,697,486,Manovo-Gounda-Saint Floris,18908.68,19092.1589,IUCN,1,II,3,Central African Republic,CAF,Least Developed Countries ,yes,327,0.033090468,115,0.021800948,28,0.004388715,102,0.010135135,2.02E-07,9.47E-07,2.84E-07,7.38E-07,6.109541085,6.432561194,3.151526692,3.616288055,2.282906403,2.854362327,0.931378633,2.251266353,0.046610974,0.049397944,0.056874726,0.058308522,0.080408263,0.082761929,0.339226098,0.341463408,1.655666105,2.788508942,1.655666105,39.64836858,549.0493261,39.64377861,548.9870119,11.99415442,146.1858013,0.66943997,0.719286596,0.136985489,1.232162476,0.028847317,0.123933375,0,-0.000427447,0.000600716
314,56,560,André Félix National Park complex,NA,6397.436392,KBA,NA,NA,3,Central African Republic,CAF,Least Developed Countries ,yes,256,0.025905687,99,0.018767773,23,0.003605016,74,0.007352941,1.58E-07,1.81E-07,2.02E-07,2.28E-07,4.73066502,4.850417478,2.178138056,2.365220712,1.672685012,2.051349639,0.558979699,0.592897951,0.086667653,0.088752588,0.106598685,0.109583587,0.132340374,0.13306721,0.443584224,0.440000254,2.864028326,5.168542646,2.864028326,50.40420372,291.3014798,50.40017218,291.2757932,16.95165595,86.79603042,0.687432417,0.799473517,0.081883046,0.116744995,0.047774576,0.087266684,3.81E-05,-0.005125391,0.006266087
315,160,561,Bozoum,NA,3515.795744,KBA,NA,NA,3,Central African Republic,CAF,Least Developed Countries ,yes,280,0.028334345,107,0.02028436,31,0.004858934,124,0.012321145,2.05E-07,2.02E-07,3.25E-07,3.13E-07,6.12089709,6.297721842,3.192050279,3.445141215,4.388105493,7.109337145,1.734531458,1.84338114,0.043201093,0.04360489,0.058899565,0.060046807,0.286565841,0.332408379,0.315242997,0.319146263,5.190781382,5.545248862,5.190781382,49.37377291,199.272873,49.36909866,199.2543417,0.010718726,1.039110607,0.916851562,0.931047382,-0.053394029,0.02593994,0.011537925,0.104933321,0,-0.002124938,0.00187444
505,566,1290,Kokolopori,NA,3780.441544,KBA,NA,NA,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,284,0.028739122,118,0.022369668,27,0.004231975,96,0.009538951,2.80E-07,1.90E-06,6.61E-07,3.62E-07,8.919656354,9.457864506,7.088411743,8.08539204,5.092757569,5.655597432,1.463560144,1.50033723,0.061237955,0.06358505,0.083296955,0.085470819,0.190953845,0.186458161,0.19300748,0.188669326,4.015018379,4.407585229,4.015018379,139.1658209,836.8031893,139.1624354,836.7820671,28.20634727,174.8541981,0.981961264,0.994631797,0.341603257,1.482559209,-0.099741596,0.186150014,3.21E-05,0.000166397,0.1296147
506,147,162,Bomu,6541.501741,6589.915388,IUCN,1,Ib,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,388,0.039263307,151,0.028625592,45,0.007053292,142,0.014109698,2.60E-07,3.35E-07,4.57E-07,4.10E-07,8.343752356,10.27602098,4.879473645,5.752306539,4.147280964,5.35997014,1.412621399,1.933157792,0.120014735,0.136336491,0.173059674,0.195678666,0.258114656,0.290399608,0.309357567,0.343355658,2.484122017,3.716516029,2.484122017,93.2897688,1088.576116,93.27874109,1088.458532,13.56883261,177.0460067,0.884511036,0.92910695,1.539047122,9.508865334,-0.137463667,0.279833317,0,-0.004956413,0.00017882
507,482,1288,Itombwe Mountains,NA,8262.865923,KBA,NA,NA,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,654,0.066180935,200,0.037914692,61,0.009561129,142,0.014109698,1.12E-06,2.82E-06,3.66E-05,1.63E-06,47.59613703,53.63557846,16.7512388,29.65662293,45.87247969,58.92633722,5.061863988,9.729344598,0.055137543,0.056567739,0.069950457,0.076558056,0.179996708,0.191987994,0.316176179,0.327782927,6.985847728,10.53025057,6.985847728,107.6769316,771.5327347,107.6730698,771.5026719,43.33974928,291.8941091,1.003941902,1.0149168,2.497017264,6.886810308,-0.006296705,0.127766669,0.00091943,0.054831675,0.004801175
508,633,1291,Lendu Plateau,NA,4132.312109,KBA,NA,NA,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,663,0.067091682,229,0.043412322,44,0.006896552,158,0.015699523,6.83E-07,6.05E-07,5.21E-06,1.09E-06,26.99106212,30.56742633,10.71925235,12.10578947,10.91739048,16.04973805,6.904651338,7.762152282,0.074013941,0.076718203,0.07544103,0.078485104,0.160047275,0.16761043,0.262122059,0.286234809,10.11961192,10.58628941,10.11961192,68.52403203,372.4988374,68.51703627,372.4496911,13.77966884,85.21817699,0.986471651,1.018640244,-1.740077684,0.15092469,-0.00658463,0.071866632,0.002858334,0.153920417,0.01745665
509,856,487,Okapis,13846.74271,14034.20006,IUCN,1,II,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,508,0.051406598,208,0.03943128,56,0.008777429,148,0.014705882,5.49E-07,7.20E-07,1.44E-06,7.97E-07,19.14764044,31.85844697,11.00866886,15.86830461,13.59753335,28.20449594,5.833988223,7.09599646,0.066779934,0.067697122,0.07821871,0.084697769,0.099275821,0.108262955,0.195663494,0.196713923,3.77150773,5.718724917,3.77150773,146.9955215,1740.220449,146.9897391,1740.140495,37.3961305,434.2571018,0.95685282,1.001918077,0.697608111,8.191421525,0.055397411,0.152150035,0.000408593,0.013438876,0.006303565
510,383,494,Garamba,5000,4981.694064,IUCN,1,II,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,498,0.050394657,196,0.037156398,47,0.007366771,143,0.014209062,2.92E-07,5.90E-07,3.73E-06,9.28E-07,11.92234045,14.15744875,7.410742424,8.170314986,12.69527983,18.85396507,3.413191109,5.924345663,0.085945304,0.083926296,0.106885513,0.104605718,0.177606369,0.181180044,0.354499779,0.361419622,4.816477251,6.540437026,4.816477251,44.19130151,387.4107826,44.18705146,387.3760528,0.432736363,6.52059103,0.857215194,0.934694867,-0.242248733,2.522171034,0.033131395,0.135816693,2.36E-06,0.00098298,0.00321993
511,1055,485,Salonga,17140.59961,33592.75056,IUCN,1,II,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,299,0.030257033,107,0.02028436,34,0.005329154,101,0.010035771,2.60E-07,4.19E-07,1.08E-05,4.54E-07,8.613790396,8.745898492,4.24956299,4.424016248,5.171273953,5.468903477,1.180054519,1.438889102,0.05788279,0.059268962,0.070583858,0.072981505,0.120730079,0.122935474,0.239565434,0.23376339,3.210976644,5.814574953,3.210976644,143.3680371,3425.391625,143.3631568,3425.271447,31.75830359,763.6871864,0.938703405,0.990722089,0.106805826,1.584777834,0.056081553,0.330966592,7.55E-12,-0.000530612,0.062938274
512,620,559,LaLuama - Katanga - Mount Kabobo,NA,2561.076223,KBA,NA,NA,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,456,0.046144505,154,0.029194313,40,0.006269592,117,0.011625596,6.95E-07,2.73E-07,1.70E-05,8.24E-07,21.76300461,26.53412302,6.761606495,9.30283722,16.99118129,20.71219599,4.660699113,5.018859362,0.070319505,0.071226301,0.080762425,0.081397718,0.231811834,0.236147526,0.357173455,0.357306557,7.78684796,8.884136695,7.78684796,65.52660885,322.4963926,65.52115988,322.4684229,10.41132958,48.29879526,0.955308362,0.986882303,-0.355939606,2.161849986,-0.060588884,0.006166637,0.000114618,0.012684881,0.001989655
513,1253,497,Virunga,7768.927679,7878.932383,IUCN,1,II,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,739,0.074782433,277,0.052511848,84,0.013166144,193,0.019177266,1.15E-06,3.94E-06,1.72E-05,3.62E-06,39.92507917,46.04516109,25.07017355,29.98878099,39.86078441,55.33000089,10.10442972,13.98430891,0.043276047,0.040981597,0.048352684,0.043040284,0.081105097,0.092632769,0.195459237,0.201745216,9.357061005,11.49429477,9.357061005,66.00963178,765.6389028,66.00189616,765.5421418,19.88566835,229.3077686,0.986402838,1.018787377,5.126293226,14.53114322,0.019801796,0.185533345,0.005519727,0.097630432,0.016929239
514,122,478,Bassin de la Lufira,44709.932,43684.6856,IUCN,1,II,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,483,0.048876746,177,0.033554502,69,0.010815047,148,0.014705882,4.63E-07,1.07E-06,1.60E-05,2.44E-06,11.38742637,12.10367547,5.241778536,6.092769811,18.49062472,27.12187019,6.790645661,9.490066209,0.048474778,0.053035166,0.05641666,0.061221485,0.155182826,0.182119881,0.355493092,0.354758659,5.159058098,7.442321024,5.159058098,54.27683331,1679.450239,54.26804795,1679.204032,2.054970597,48.53490972,0.903330988,0.959975279,0.089159271,4.081024162,0.026082525,0.145266652,1.45E-07,-0.000258403,0.002343798
515,476,817,Irangi Forest,NA,3838.976658,KBA,NA,NA,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,579,0.058591378,214,0.04056872,52,0.00815047,140,0.01391097,8.87E-07,1.77E-06,5.63E-06,1.59E-06,27.28004877,34.88352017,18.26623359,25.09376577,23.84385986,40.25770786,4.44634184,7.299354424,0.046487589,0.056657721,0.05429024,0.064005327,0.127627432,0.13853943,0.183821345,0.193216911,5.711552076,8.404602761,5.711552076,155.0884013,919.5647649,155.0847586,919.5406487,61.53958475,354.8541966,0.977331143,0.989521675,0.105199221,1.477737429,-0.062249062,0.004066646,0.002136518,0.184386823,0.02727799
516,704,1296,Marungu highlands,NA,9774.70862,KBA,NA,NA,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,469,0.047460028,164,0.031090047,50,0.007836991,135,0.013414149,4.04E-07,2.43E-07,1.80E-06,6.13E-06,12.88803377,13.58674816,4.535219696,4.763204652,6.70408938,8.574733567,6.573627298,44.32189673,0.06456024,0.065792505,0.064739234,0.058941978,0.19086594,0.184049092,0.35491142,0.366861344,5.869446913,7.515220263,5.869446913,37.0363143,433.660697,37.0294913,433.5752984,4.352664383,35.34613875,0.938590026,0.96219707,0.78348091,1.420379635,0.082679133,0.213116646,0.000332708,0.064132545,0.006398473
517,805,557,Ngiri,NA,20288.54881,KBA,NA,NA,3,Democratic Republic of the Congo,COD,Least Developed Countries ,yes,315,0.031876138,155,0.029383886,45,0.007053292,128,0.012718601,3.12E-07,5.11E-07,7.04E-07,1.19E-06,10.81509518,11.18068279,6.714286616,7.431499196,7.819684666,12.6982574,2.18037749,3.947665408,0.055259817,0.054365677,0.073644385,0.070712684,0.135194776,0.137522726,0.183696758,0.192321875,3.38271693,5.188507919,3.38271693,134.8483341,2037.654121,134.8129459,2037.065,32.04745171,479.145553,0.924027489,0.98004798,0.481489761,2.064987177,-0.04736924,0.210416675,4.88E-11,-0.001395715,0.009462836
